pu,do,osrm_distance_m,osrm_duration_s
18,5,59185.2,3503.6
18,6,45592.8,2956.7
18,7,16146.7,1253.8
18,8,15928.0,1216.2
18,9,21470.2,1368.0
18,10,28825.0,1841.7
18,11,43397.1,2859.5
18,12,36296.0,2425.8
18,13,24149.5,1939.4
18,14,41224.4,2687.2
18,15,16754.8,1055.9
18,16,20548.9,1308.5
18,17,28332.7,2071.0
18,18,0.0,0.0
18,19,27013.3,1588.0
18,20,2027.5,225.9
18,21,42427.5,2899.9
18,22,42305.1,2832.4
18,23,48118.7,3015.1
18,24,13234.4,1029.1
18,25,30690.7,2204.5
19,1,48543.9,3195.6
19,2,23291.7,1571.0
19,3,22198.4,1334.6
19,4,27643.0,1758.4
19,5,58791.5,3714.7
19,6,43934.1,2595.1
19,7,21547.3,1406.2
19,8,21791.8,1337.7
19,9,9134.0,601.4
19,10,13519.7,807.0
19,11,38021.6,2181.2
19,12,34637.2,2064.2
19,13,30055.8,2122.7
19,14,39565.7,2325.6
19,15,11494.9,624.5
19,16,6898.5,482.4
19,17,22524.9,1633.7
19,18,26622.1,1565.9
19,19,0.0,0.0
19,20,24732.1,1457.8
19,21,36243.4,2150.9
19,22,33635.7,2181.0
19,23,52310.7,3093.7
19,24,33540.6,1938.2
19,25,29032.0,1842.9
20,1,42198.0,2476.2
20,2,36142.5,2486.3
20,3,4342.6,535.1
20,4,20733.6,1643.4
20,5,58439.3,3463.8
20,6,44591.6,2895.7
20,7,15145.5,1192.8
20,8,14926.8,1155.2
20,9,19466.5,1282.6
20,10,26821.3,1756.3
20,11,42396.0,2798.5
20,12,35294.8,2364.8
20,13,23403.5,1899.6
20,14,40223.2,2626.2
20,15,14751.1,970.5
20,16,18545.2,1223.1
20,17,27331.5,2010.0
20,18,1811.2,239.5
20,19,25009.6,1502.6
20,20,0.0,0.0
20,21,41426.3,2838.9
20,22,41304.0,2771.4
20,23,47372.8,2975.3
20,24,12488.5,989.3
20,25,29689.5,2143.5
21,1,31362.0,2112.0
21,2,21932.5,1767.7
21,3,40324.4,2796.4
21,4,18132.0,1507.6
21,5,24868.1,1933.5
21,6,10010.7,813.9
21,7,25536.3,1999.0
21,8,25549.5,2003.0
21,9,28127.2,2096.0
21,10,22008.1,1658.1
21,11,3388.7,311.2
21,12,12911.6,948.3
21,13,14067.8,1079.7
21,14,5644.0,508.3
21,15,33661.6,2312.6
21,16,32174.0,2244.7
21,17,12830.0,1187.4
21,18,37275.3,2910.5
21,19,30477.2,2196.0
21,20,37060.0,2873.3
21,21,0.0,0.0
21,22,1919.2,188.7
21,23,18387.3,1312.5
21,24,25654.2,2197.8
21,25,11406.6,998.0
22,1,29801.0,1978.7
22,2,22738.3,1813.4
22,3,41130.1,2842.1
22,4,17589.2,1410.4
22,5,23307.1,1800.2
22,6,8449.6,680.6
22,7,28133.1,1916.4
22,8,28146.3,1920.4
22,9,28933.0,2141.7
22,10,22813.8,1703.8
22,11,1808.6,235.2
22,12,12368.8,851.1
22,13,13525.0,982.5
22,14,4095.7,376.5
22,15,34467.4,2358.3
22,16,32979.7,2290.4
